glyph	telugu	confidence	seen
_¯	చిన	0.999	6.23
Gs	ఎట్ల	0.979	6.22
Æó	రే	0.736	6.21
$ª	ద్దు	1.000	6.21
^Œ	చ్	1.000	6.2
>Ë$	ాలు	1.000	6.19
sîý	టీ	1.000	6.16
îý	టీ	1.000	6.16
þ$/	/	1.000	6.16
éÍ	ాలి	0.821	6.16
ÒË	వీలు	1.000	6.15
ý$¯è		0.712	6.14
AÌê	అలా	1.000	6.14
»êV>	బాగా	1.000	6.13
é°	దాని	1.000	6.12
ý$¢	తు	0.988	6.11
Ò$Ææÿ	మీరు	1.000	6.08
&Æ	-యి(	0.987	6.08
$Mæü$	కు	1.000	6.07
HÒ	ఏమీ	1.000	6.07
HÒ$	ఏమీ	1.000	6.07
ýMæ	లేక	1.000	6.07
ç³#çÜ	పుస్	0.841	6.06
³#çÜ	పుస్	0.841	6.06
þ*Ã	మ్మా	1.000	6.06
ò³r	పెట్	1.000	6.06
ÅÆæ	యార్	1.000	6.05
³šy	పుడు	1.000	6.05
$…y	 (45	0.992	6.05
Vøí	గోపి	0.784	6.04
™èþÐ	తమ	0.997	6.03
°…	నిఞ్	0.994	6.03
Ææÿ…	రం	0.998	6.0
3.	ఆయన	0.500	6.0
1	కలాల	0.500	6.0
A/	ఇన/-	1.000	6.0
§æþ$.	దు.	1.000	5.99
Gç³	ఎప్	1.000	5.99
îþ	ండీ	1.000	5.98
A§	అద	0.999	5.98
*yæ	మూడు	0.556	5.97
r$Ï	ట్లు	1.000	5.97
ý…		0.994	5.96
²?	ి?	1.000	5.96
éâæý	వాళ	0.630	5.96
þ^ó	వచ్చ	1.000	5.94
ôýM	లేక	1.000	5.93
Òâæ	వీళ్	0.975	5.91
þÐèþ		0.971	5.9
¢Mæ	తక	1.000	5.9
Ðéâæý	వాళ	0.901	5.9
±â	నీ	0.541	5.9
²Ææÿ	ారు	0.993	5.88
$¢¯	ున్న	0.689	5.85
øþ	ో	0.712	5.85
èþ*ç	మాష్	1.000	5.84
†¯èþ	తిన	1.000	5.84
µÐ	పావు	1.000	5.84
$¾	ు	0.999	5.83
þË$	లు	1.000	5.82
ý$…		1.000	5.82
…?	ం?	1.000	5.82
þÌ		1.000	5.82
N	పూర్	0.984	5.82
Vøí³	గోపి	0.622	5.81
éÅÆ	యార్	1.000	5.81
™èþ$¯	తున	0.942	5.81
ý§æþ$	లేదు	1.000	5.79
¢¯è	తాను	0.896	5.79
÷	సొ	0.645	5.77
rË	టలు	1.000	5.77
þª	ద	0.951	5.76
Aç³	అప్	1.000	5.76
>Ææ	గారు	0.902	5.75
Ìôý§æ	లేదు	1.000	5.75
æüPy	క్కడ	0.998	5.75
Þ	స్సు	0.825	5.71
².	్ని.	0.603	5.7
Ü$M	సుక	0.990	5.7
æÿÐ		0.542	5.68
Ðèþ…	వం	0.998	5.68
êË$	డ	0.515	5.67
²yæþ	ాడు	1.000	5.67
M>Ðé	కావా	1.000	5.67
I§	ఐదు	0.670	5.66
A¯èþ²	అన్న	1.000	5.66
ðþË	ెల	1.000	5.66
þÝ	వస్త	1.000	5.65
þV>	గా	1.000	5.64
æý*Å	య్యా	1.000	5.64
>Ðé	కావా	1.000	5.64
CÆæ	ఇరవై	0.874	5.64
èþ$¯è	మన	0.508	5.63
üÐ		0.845	5.62
Œþ	్	0.997	5.62
þ…§	వంద	1.000	5.62
