legacy	rom
»êVæü$¯é²yæþ$	bāgunnāḍu
sìýMðüPr$t	ṭikkeṭṭu
°…_/&¯èþ$…_	niṁci/-nuṁci
°…_	niṁci
¯èþ$…_	nuṁci
¯èþ$…yìþ	nuṇḍi
üÆ>{†	rātri
üÆ>{†âæý$å	rātriḷḷu
üFÆæÿ$	ūru
üFÇ	ūri
üCMæüPyæþ	ikkaḍa
CMæüPyìþ	ikkaḍi
AMæüPyìþ	akkaḍi
GMæüPyìþ	ekkaḍi
HÐèþ$Ðèþ*Ã	ēmammā
HÐèþ$Äæý*Å	ēmayyā
HÐèþ$…yîþ	ēmaṁḍī
AÄæý*Å	ayyā
ü&AÄæý*Å	ayyā
Ðèþ…§æþ	vaṁda
ÐðþÆÿ$$Å	veyyi
¯èþ*r	nūṭa
Ðèþ…§æþË$	vaṁdalu
Ðèþ…§æþË	vaṁdala
V>°	gāni
yŠþ²	ḍn
×Šý~	ṇṇ
V>Í	gāli
Væü*yé	gūḍā
™ö…§æþÆæÿV>	toṁdaragā
Ððþ$$MæüPË$	mokkalu
BÄæý$¯èþ	āyana
§æþVæüY-Ç	daggari
Ææÿ	daggara
ÆæÿÑ	ravi
§æþVæüYÇ	daggari
ÐéÍ	vāli
BÍ	āli
^èþ§æþ$Ðèþ#&BÍ=^èþ§æþÐéÍ	caduvu-āli
¯èþ$/&°ü	nu/-ni
¯èþ$	nu
Mæü$/&Mìü	ku/ki
õ³Ææÿ$	pēru
¯èþ¯èþ$²	nannu
™ø	tō
ç³ÆæÿÐéÌôý§æþ$	paravālēdu
ÒË$Ìôý§æþ$	vīlulēdu
yæþº$¾Ë$	ḍabbulu
AÆÿ$$™óþ	aitē
™èþ$¯é²	tunnā/tōṁ
™ø…	tōṁ
™èþ$¯é²	tunnā
GMæü$P	ekku
¨Væü$	digu
Fç³#	ūpu
ç³ÇVðü™èþ$¢	parigettu
ÐðþâŒý	veḷ
Ðèþ‹Ü	vas
¡çÜ$Mø‹Ü	tīsukōs
¡çÜ$Mæü$Æ>	tīsukurā
¡çÜ$Mø‹Ü&™ø…&¨	tīsukōs-tōṁ-di
Gr$	eṭu
Ar$	aṭu
MøçÜ…	kōsaṁ
Ò$§æþ	mīda
Mìü…§æþ	kiṁda
°…_/&¯èþ$…_	niñci/nuñci
ÌêV>	lāgā
GÐèþÆæÿ$	evaru
H§ø	ēdō
GÐèþÆø	evarō
HÐø	ēvō
GMæüPyø	ekkaḍō
Gç³šyø	eppuḍō
G…§æþ$Mø	eṁdukō
HÐðþ*ÄŒý$	ēmōy
KÄŒý$	ōy
Ñ$Ðèþ$ÃÍ²	mimmalni
Ò$Ææÿ$	mīru
Æÿ$$Å/Æÿ$$	yyi/yi
‹Ü	s
^èþ*‹Ü	cūs
ÌZç³Ë	lōpala
»ñýOr	baiṭa
ÌZç³Í&þ	lōpali
»ñýOsìý&þ	baiṭi
ç³…yæþ$	paṁḍu
ç³âæý$å	paḷḷu
